category,description,amount,date
Housing,Rent,12000,2026-09-24
Utilities,Internet,801,2026-09-08
Utilities,Water,509,2026-09-22
Utilities,Electricity,1509,2026-09-14
Utilities,Electricity,361,2026-09-03
Groceries,Supermarket,776,2026-09-17
Groceries,Grocery Store,354,2026-09-18
Groceries,Supermarket,1416,2026-09-14
Groceries,Supermarket,1219,2026-09-19
Groceries,Local Market,313,2026-09-25
Groceries,Supermarket,1165,2026-09-11
Groceries,Local Market,618,2026-09-07
Groceries,Local Market,509,2026-09-03
Restaurants,Dinner Out,498,2026-09-12
Restaurants,Brunch,1536,2026-09-09
Restaurants,Restaurant,1794,2026-09-15
Restaurants,Restaurant,1075,2026-09-03
Restaurants,Brunch,1587,2026-09-20
Restaurants,Brunch,1482,2026-09-07
Coffee,EspressoLab,135,2026-09-02
Coffee,EspressoLab,216,2026-09-25
Coffee,Starbucks,140,2026-09-28
Coffee,Coffee Shop,151,2026-09-13
Coffee,Starbucks,332,2026-09-21
Coffee,Starbucks,183,2026-09-12
Coffee,Starbucks,207,2026-09-22
Coffee,Starbucks,136,2026-09-20
Coffee,EspressoLab,187,2026-09-18
Coffee,EspressoLab,225,2026-09-06
Delivery,Grocery Delivery,638,2026-09-09
Delivery,Food Delivery,951,2026-09-11
Delivery,Food Delivery,484,2026-09-27
Delivery,Food Delivery,1074,2026-09-11
Transportation,Fuel,304,2026-09-03
Transportation,Bus,610,2026-09-29
Transportation,Taxi,247,2026-09-21
Transportation,Fuel,435,2026-09-29
Transportation,Fuel,176,2026-09-09
Transportation,Bus,282,2026-09-24
Transportation,Taxi,794,2026-09-19
Transportation,Fuel,627,2026-09-13
Transportation,Taxi,254,2026-09-05
Transportation,Fuel,123,2026-09-25
Transportation,Metro,142,2026-09-05
Transportation,Bus,841,2026-09-22
Beauty,Beauty Treatment,2021,2026-09-03
Gym,Gym Membership,1500,2026-09-20
Health Insurance,Health Insurance Payment,1500,2026-09-18
AI Tools,AI Subscription,1500,2026-09-22
Shopping,Electronics,3025,2026-09-11
Shopping,Clothing,1602,2026-09-14
Shopping,Cosmetics,2258,2026-09-01
Shopping,Electronics,2450,2026-09-25
Entertainment,Concert,1289,2026-09-30
Entertainment,Cinema,1530,2026-09-10
Entertainment,Concert,563,2026-09-12
Travel,Hotel,804,2026-09-20
Travel,Train,4802,2026-09-01
Other,Miscellaneous Expense,843,2026-09-29
Other,Miscellaneous Expense,590,2026-09-02
Subscriptions,Netflix,250,2026-09-08
Subscriptions,Spotify,100,2026-09-29
Subscriptions,Cloud Storage,150,2026-09-19
Housing,Rent,12000,2026-10-24
Utilities,Mobile Phone,441,2026-10-25
Utilities,Water,562,2026-10-22
Utilities,Mobile Phone,1425,2026-10-06
Utilities,Internet,1380,2026-10-28
Groceries,Grocery Store,1166,2026-10-07
Groceries,Grocery Store,711,2026-10-23
Groceries,Local Market,1117,2026-10-22
Groceries,Grocery Store,1064,2026-10-15
Groceries,Grocery Store,1224,2026-10-04
Groceries,Supermarket,760,2026-10-03
Groceries,Local Market,343,2026-10-19
Groceries,Grocery Store,771,2026-10-19
Restaurants,Fast Food,314,2026-10-03
Restaurants,Restaurant,768,2026-10-03
Restaurants,Restaurant,976,2026-10-03
Restaurants,Fast Food,870,2026-10-22
Restaurants,Dinner Out,738,2026-10-18
Restaurants,Fast Food,1781,2026-10-30
