category,avg_monthly,fixed_amount,avg_variable_amount,is_recurring_category
AI Tools,1500.0,1500.0,0.0,True
Beauty,1125.3333333333333,0.0,1125.3333333333333,False
Coffee,2769.3333333333335,283.4375,2485.8958333333335,True
Delivery,2288.0,0.0,2288.0,False
Entertainment,2912.6666666666665,2235.25,677.4166666666665,True
Groceries,6680.0,908.3333333333334,5771.666666666667,True
Gym,1500.0,1500.0,0.0,True
Health Insurance,1500.0,1500.0,0.0,True
Housing,12000.0,12000.0,0.0,True
Other,1735.0,0.0,1735.0,False
Restaurants,6187.333333333333,917.25,5270.083333333333,True
Shopping,6381.333333333333,3195.0,3186.333333333333,True
Subscriptions,500.0,500.0,0.0,True
Transportation,4971.333333333333,0.0,4971.333333333333,False
Travel,6167.0,2969.3333333333335,3197.6666666666665,True
Utilities,4534.666666666667,3555.75,978.916666666667,True
