category,recommended_spend,fixed_amount,avg_monthly
AI Tools,1500.0,1500.0,1500.0
Beauty,0.0,0.0,1125.3333333333333
Coffee,0.0,0.0,2769.3333333333335
Delivery,0.0,0.0,2288.0
Entertainment,0.0,0.0,2912.6666666666665
Groceries,0.0,0.0,6680.0
Gym,1500.0,1500.0,1500.0
Health Insurance,1500.0,1500.0,1500.0
Housing,12000.0,12000.0,12000.0
Other,0.0,0.0,1735.0
Restaurants,0.0,0.0,6187.333333333333
Shopping,0.0,0.0,6381.333333333333
Subscriptions,500.0,500.0,500.0
Transportation,0.0,0.0,4971.333333333333
Travel,0.0,0.0,6167.0
Utilities,0.0,0.0,4534.666666666667
